# Force coefficients
# liftDir      : (0.0000000e+000 0.0000000e+000 1.0000000e+000)
# dragDir      : (1.0000000e+000 0.0000000e+000 0.0000000e+000)
# pitchAxis    : (0.0000000e+000 1.0000000e+000 0.0000000e+000)
# magUInf      : 1.0000000e+001
# lRef         : 1.0000000e+000
# Aref         : 1.0000000e+000
# CofR         : (0.0000000e+000 0.0000000e+000 0.0000000e+000)
#
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
1              	1.9836137e-005	4.5850936e-005	3.7335594e-007	2.0022815e-005	-1.9649459e-005
2              	1.1780463e-002	2.6041681e-002	3.6744387e-004	1.1964185e-002	-1.1596741e-002
3              	5.4412852e-002	1.2946694e-001	3.5945973e-003	5.6210151e-002	-5.2615554e-002
4              	6.8376066e-002	1.6616537e-001	3.2170936e-003	6.9984613e-002	-6.6767519e-002
5              	6.9075979e-002	1.7284288e-001	1.5219006e-003	6.9836930e-002	-6.8315029e-002
6              	6.6848371e-002	1.7268145e-001	8.9068006e-005	6.6892905e-002	-6.6803837e-002
7              	6.6281574e-002	1.7582877e-001	-6.8552727e-004	6.5938810e-002	-6.6624337e-002
8              	6.7726179e-002	1.8259122e-001	-1.0151992e-003	6.7218579e-002	-6.8233779e-002
9              	7.0154424e-002	1.9070981e-001	-1.1212599e-003	6.9593795e-002	-7.0715054e-002
10             	7.2624530e-002	1.9827487e-001	-1.2015329e-003	7.2023764e-002	-7.3225297e-002
11             	7.4692060e-002	2.0436728e-001	-1.2426180e-003	7.4070751e-002	-7.5313369e-002
12             	7.6162446e-002	2.0868160e-001	-1.2196119e-003	7.5552640e-002	-7.6772252e-002
13             	7.7256919e-002	2.1177276e-001	-1.1360779e-003	7.6688880e-002	-7.7824958e-002
14             	7.8040593e-002	2.1382318e-001	-8.0337369e-004	7.7638907e-002	-7.8442280e-002
15             	7.8567816e-002	2.1517227e-001	-5.0643098e-004	7.8314600e-002	-7.8821031e-002
16             	7.9045838e-002	2.1636908e-001	-3.2487146e-004	7.8883402e-002	-7.9208274e-002
17             	7.9411152e-002	2.1738622e-001	-2.5412344e-004	7.9284091e-002	-7.9538214e-002
18             	7.9665147e-002	2.1824007e-001	-2.1956185e-004	7.9555366e-002	-7.9774928e-002
19             	7.9839332e-002	2.1916798e-001	-2.5746777e-004	7.9710598e-002	-7.9968066e-002
20             	7.9873916e-002	2.1984983e-001	-3.4313124e-004	7.9702350e-002	-8.0045482e-002
21             	7.9790885e-002	2.2029660e-001	-4.6204337e-004	7.9559863e-002	-8.0021907e-002
22             	7.9649052e-002	2.2054893e-001	-5.7680624e-004	7.9360649e-002	-7.9937455e-002
23             	7.9416503e-002	2.2043504e-001	-7.0614812e-004	7.9063429e-002	-7.9769577e-002
24             	7.9237167e-002	2.2035100e-001	-8.3057083e-004	7.8821881e-002	-7.9652452e-002
25             	7.9235817e-002	2.2058642e-001	-9.0714033e-004	7.8782247e-002	-7.9689388e-002
26             	7.9325281e-002	2.2092527e-001	-9.3658545e-004	7.8856989e-002	-7.9793574e-002
27             	7.9446433e-002	2.2124209e-001	-9.2171020e-004	7.8985578e-002	-7.9907288e-002
28             	7.9598722e-002	2.2155222e-001	-8.9742992e-004	7.9150007e-002	-8.0047437e-002
29             	7.9790763e-002	2.2191077e-001	-8.6610229e-004	7.9357712e-002	-8.0223814e-002
30             	8.0029833e-002	2.2236985e-001	-8.3687839e-004	7.9611393e-002	-8.0448272e-002
31             	8.0279013e-002	2.2287390e-001	-8.1760861e-004	7.9870209e-002	-8.0687817e-002
32             	8.0511304e-002	2.2334536e-001	-8.2271210e-004	8.0099948e-002	-8.0922660e-002
33             	8.0737268e-002	2.2380487e-001	-8.5738158e-004	8.0308577e-002	-8.1165959e-002
34             	8.0945827e-002	2.2421305e-001	-9.1612969e-004	8.0487762e-002	-8.1403892e-002
35             	8.1129034e-002	2.2458032e-001	-9.9304572e-004	8.0632512e-002	-8.1625557e-002
36             	8.1960943e-002	2.2641012e-001	-1.0622515e-003	8.1429818e-002	-8.2492069e-002
37             	8.2390030e-002	2.2737462e-001	-1.1568952e-003	8.1811582e-002	-8.2968477e-002
38             	8.2415466e-002	2.2743704e-001	-1.2344311e-003	8.1798250e-002	-8.3032681e-002
